reason,profit,win,loss,count,winRate
"空売り損切り",-622200,0,74,74,0.000
"引け値強制決済",-167800,27,44,71,0.380
"同値損切り",-36100,0,8,8,0.000
"空売り同値損切り",-23300,0,18,18,0.000
"昼休み前強制決済",64300,82,80,162,0.506
"トレイリング利確",106650,3,0,3,1.000
"空売り買い戻し: ゴールデンクロス",141900,65,0,65,1.000
"RSI買われすぎ+BB上限",202550,47,8,55,0.855
"空売り買い戻し: 最大保有時間超過",282450,49,34,83,0.590
"空売りトレイリング利確",298400,23,1,24,0.958
