date,hybridAccepted,skipped,win,loss,maxConcurrent
2026-06-01,-9800,0,2,1,2
2026-06-02,-7100,0,0,2,2
2026-06-03,10400,0,2,1,2
2026-06-04,-16100,-11300,2,1,3
2026-06-05,15500,0,3,1,2
