date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate
2026-06-01,0.595,false,-9800,2,1,0.667
2026-06-02,0.341,false,-7100,0,2,0.000
2026-06-03,0.352,false,10400,2,1,0.667
2026-06-04,0.443,false,-27400,3,2,0.600
2026-06-05,0.416,false,15500,3,1,0.750
